name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source
Barroom Brawler,combat,Base attack bonus +4.,You have learned how to mimic the combat tricks and forms of others.,"Once per day as a move action, you can gain the benefit of a combat feat that you do not possess for 1 minute. You must otherwise meet the feat's requirements.",,"If you have the martial flexibility class feature, this feat instead grants you one additional use per day of that ability.",,,,,,,Advanced Class Guide

Battle Cry,combat,"Cha 13; base attack bonus +5 or Perform (act, oratory, or sing) 5 ranks.",Your shout heartens your allies and encourages them in the fight.,"A number of times per day equal to your Charisma bonus, you can let out a battle cry as a swift action. When you do, allies within 30 feet who can hear you gain a +1 morale bonus on attack rolls and a +4 morale bonus on saving throws against fear. This effect lasts for 1 minute.  If an ally is under the effect of this feat and fails a saving throw against a fear effect, she can choose to end the battle cry's effect on her to reroll the failed save. The ally must take the result of the reroll, even if it's lower. Each ally can use this effect only once per use of this feat.",,,,,,,,,Advanced Class Guide

Befuddling Strike,combat,"Dex 13, Wis 13, Improved Unarmed Strike, base attack bonus +8.",You know just where to strike to temporarily send your enemy into a confused stupor.,"Befuddling Strike forces a foe damaged by your unarmed attack to attempt a Fortitude saving throw (DC = 10 + 1/2 your character level + your Wisdom modifier), in addition to dealing damage normally. You must declare that you are using this feat before you make your attack roll-thus, a failed attack roll ruins the attempt. A defender who fails this saving throw is confused for 1d4 rounds. You can attempt to use Befuddling Strike once per day for every 4 character levels you have, but can use it no more than once per round. Constructs, incorporeal creatures, mindless creatures, plants, undead, and creatures that are immune to critical hits cannot be affected by this ability.",,,,,Improved Unarmed Strike,,,,Advanced Class Guide

Believer's Boon,general,"Wis 13, alignment must be within one step of your deity's.",Your deity rewards you for your faithfulness.,"Choose one domain granted by your deity. Once per day, you can use all 1st-level domain abilities granted to clerics of that domain. You gain access to this one ability only, not the higher-level domain ability, domain spells, or additional class skills that the domain might grant, or any bonus feats that are listed under its granted powers. Your effective cleric level in regard to this ability is 1st level.",,"You can take this feat twice. When you take it a second time, you choose another domain granted by your deity. If you grossly violate the code of conduct required by your deity, your alignment shifts so that it is more than one step away from your deity's, or you no longer worship your deity, you lose access to this feat. You can regain it once you atone for your misdeeds to your deity (see the atonement spell on page 245 of the Pathfinder RPG Core Rulebook).",,,,,,,Advanced Class Guide

Believer's Hands,general,"Wis 13, Believer's Boon, must be lawful good, alignment must be within one step of your deity's.",You can heal others with a touch of your hand.,"Once per day, you can use the paladin's lay on hands ability. Your effective paladin level is equal to 1/2 your character level (minimum 1). If you already have (or later gain) the lay on hands ability, you instead gain one extra use of lay on hands each day.",,"This feat counts as having the lay on hands ability for the purpose of qualifying for feats such as Extra Lay on Hands. If you grossly violate the code of conduct required by your deity, your alignment shifts so that it is more than one step away from your deity's, or you no longer worship your deity, you lose access to this feat. You can regain it once you atone for your misdeeds to your deity (see the atonement spell on page 245 of the Core Rulebook).",,,Believer's Boon,,,,Advanced Class Guide

Blasting Charge,general,"Base attack bonus +7, ability to cast 2nd-level bloodrager spells, bloodrage class feature.",You funnel the power of your bloodrage into a strike capable of erupting with arcane power.,"While you are bloodraging, at the end of a charge you can expend a bloodrager spell slot as a swift action to imbue your charge attack with extra power. You deal an additional 1d6 points of damage per level of the spell slot expended. This extra damage is force damage, and it's not multiplied in the case of a critical hit. If your bloodline has a specific energy type associated with it (such as the elemental or draconic bloodlines), you can choose to increase the damage to 1d8 points per level of the spell slot expended, and this extra damage is of that energy type.",,,,,,,,,Advanced Class Guide

Blessed Striker,general,"Base attack bonus +11, ability to cast divine spells, alignment must be within one step of your deity's.",You attacks are augmented by the strength of your and your deity's shared alignment.,All of your attacks are treated as having whatever alignment components you and your deity share for the purpose of overcoming damage reduction.,,"If you grossly violate the code of conduct required by your deity or no longer worship your deity, you lose access to this feat. You can regain it once you atone for your misdeeds to your deity (see the atonement spell on page 245 of the Core Rulebook).",,,,,,,Advanced Class Guide
